complex_name,month,avg_price,count
Alye Parusa Residence,2021-01,11308000.0,7
Alye Parusa Residence,2021-02,13701111.111111112,9
Alye Parusa Residence,2021-03,11866666.666666666,6
Alye Parusa Residence,2021-04,13693400.0,5
Alye Parusa Residence,2021-05,19343750.0,4
Alye Parusa Residence,2021-06,11197000.0,4
Alye Parusa Residence,2021-07,14597375.0,8
Alye Parusa Residence,2021-08,17773000.0,5
Alye Parusa Residence,2021-09,23342333.333333332,3
Alye Parusa Residence,2021-10,17039454.545454547,11
Alye Parusa Residence,2021-11,11754750.0,4
Alye Parusa Residence,2021-12,9287833.333333334,6
Alye Parusa Residence,2022-01,21696600.0,5
Alye Parusa Residence,2022-02,12358000.0,6
Alye Parusa Residence,2022-03,10961750.0,4
Alye Parusa Residence,2022-04,15716428.57142857,7
Alye Parusa Residence,2022-05,11368666.666666666,3
Alye Parusa Residence,2022-06,11409250.0,4
Alye Parusa Residence,2022-07,13828666.666666666,9
Alye Parusa Residence,2022-08,16989428.57142857,7
Alye Parusa Residence,2022-09,10740500.0,8
Alye Parusa Residence,2022-10,5173333.333333333,3
Alye Parusa Residence,2022-11,20800500.0,2
Alye Parusa Residence,2022-12,21804500.0,2
Alye Parusa Residence,2023-01,20703000.0,6
Alye Parusa Residence,2023-02,22782000.0,7
Alye Parusa Residence,2023-03,14572555.555555556,9
Alye Parusa Residence,2023-04,13905777.777777778,9
Alye Parusa Residence,2023-05,13514500.0,6
Alye Parusa Residence,2023-06,16155000.0,4
Alye Parusa Residence,2023-07,15257500.0,6
Alye Parusa Residence,2023-08,14247727.272727273,11
Alye Parusa Residence,2023-09,20941000.0,5
Alye Parusa Residence,2023-10,14943166.666666666,6
Alye Parusa Residence,2023-11,13080750.0,4
Alye Parusa Residence,2023-12,13165666.666666666,6
Alye Parusa Residence,2024-01,11450500.0,4
Alye Parusa Residence,2024-02,22774000.0,10
Alye Parusa Residence,2024-03,9037777.777777778,9
Alye Parusa Residence,2024-04,18263571.42857143,7
Alye Parusa Residence,2024-05,12388625.0,8
Alye Parusa Residence,2024-06,18271250.0,8
Alye Parusa Residence,2024-07,17332800.0,5
Alye Parusa Residence,2024-08,18608142.85714286,7
Alye Parusa Residence,2024-09,14678666.666666666,3
Alye Parusa Residence,2024-10,18137142.85714286,7
Alye Parusa Residence,2024-11,15816000.0,5
Alye Parusa Residence,2024-12,14494400.0,5
Alye Parusa Residence,2025-01,12153250.0,4
Alye Parusa Residence,2025-02,18531500.0,6
Alye Parusa Residence,2025-03,19163125.0,8
Alye Parusa Residence,2025-04,15272750.0,4
Alye Parusa Residence,2025-05,17892166.666666668,6
Alye Parusa Residence,2025-06,19316833.333333332,6
Alye Parusa Residence,2025-07,13907166.666666666,6
Alye Parusa Residence,2025-08,18224142.85714286,7
Alye Parusa Residence,2025-09,16120500.0,4
Alye Parusa Residence,2025-10,15566000.0,6
Alye Parusa Residence,2025-11,17794571.42857143,7
Alye Parusa Residence,2025-12,18436666.666666668,6
Alye Parusa Residence,2026-01,13259500.0,4
Alye Parusa Residence,2026-02,15671000.0,3
Alye Parusa Residence,2026-03,20237250.0,8
Alye Parusa Residence,2026-04,10417125.0,8
Buninskie Luga Residence,2021-01,20010000.0,2
Buninskie Luga Residence,2021-02,10206142.857142856,7
Buninskie Luga Residence,2021-03,8122666.666666667,3
Buninskie Luga Residence,2021-04,11263000.0,3
Buninskie Luga Residence,2021-05,14452500.0,2
Buninskie Luga Residence,2021-06,10316600.0,5
Buninskie Luga Residence,2021-07,14976000.0,5
Buninskie Luga Residence,2021-08,10442500.0,4
Buninskie Luga Residence,2021-09,14598000.0,4
Buninskie Luga Residence,2021-10,14216000.0,4
Buninskie Luga Residence,2021-11,13685000.0,5
Buninskie Luga Residence,2021-12,16702666.666666666,3
Buninskie Luga Residence,2022-01,6083000.0,2
Buninskie Luga Residence,2022-02,8342750.0,4
Buninskie Luga Residence,2022-03,12878750.0,4
Buninskie Luga Residence,2022-04,14264333.333333334,3
Buninskie Luga Residence,2022-05,9276111.111111112,9
Buninskie Luga Residence,2022-06,12490000.0,8
Buninskie Luga Residence,2022-07,10765500.0,6
